district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27
新莊區,房地(土地+建物),新北市新莊區頭興街5巷1~30號,66.51,住,,,1080310,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,590501,68.4,5,2,2,有,無,10880000,159064,,0,0,,RPWPMLTKOHOFFBF17DA
新莊區,房地(土地+建物),新北市新莊區新泰路1~30號,12.91,住,,,1080516,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060207,103.32,2,2,1,有,有,12500000,120983,,0,0,,RPPRMLTKOHOFFBF66DA
土城區,房地(土地+建物)+車位,新北市土城區中央路四段279巷1~30號,20.69,住,,,1080414,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950817,191.05,4,2,2,有,有,14350000,82595,坡道平面,34.26,1400000,含增建或未登記建物。,RPTOMLRLOHOFFAF56DA
新莊區,房地(土地+建物),新北市新莊區四維路125巷1~30號,21.18,住,,,1080430,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680112,78.6,4,2,2,有,無,6650000,84606,,0,0,含增建或未登記建物。,RPTRMLNKOHOFFBF09DA
板橋區,房地(土地+建物),新北市板橋區大華街1~30號,28.11,商,,,1080512,土地1建物1車位0,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,901113,191.65,4,2,2,有,有,24760000,129194,,0,0,1.含增建或未登記建物。2.權利人共二人。,RPSQMLMKOHOFFAF68DA
土城區,房地(土地+建物),新北市土城區學府路一段121~150號,6.04,住,,,1080512,土地1建物1車位0,十七層,十八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,840524,32.27,1,0,1,有,有,3920000,121475,,0,0,含增建或未登記建物。,RPTQMLMKOHOFFAF78DA
樹林區,房地(土地+建物)+車位,新北市樹林區俊英街133巷1~30號,40,住,,,1080521,土地1建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051201,274.74,2,2,2,有,有,22280000,86688,坡道平面,38.49,1800000,土地及建物分次登記案件。前案土地登記收件字號：;,RPUQMLTJPHOFFIF67CA
板橋區,房地(土地+建物),新北市板橋區三民路二段居仁巷1弄1~30號,26.25,住,,,1080429,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670221,80.82,3,2,1,有,無,7760000,96016,,0,0,含增建或未登記建物。,RPTQMLRKOHOFFAF66DA
板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路271~300號,16.45,住,,,1080508,土地1建物1車位1,十一層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950508,102.79,2,2,1,有,有,13800000,139789,坡道機械,14.8,1500000,含增建或未登記建物。權利人共二人。,RPVQMLRKOHOFFAF86DA
三峽區,房地(土地+建物)+車位,新北市三峽區大同路211~240號,17.11,住,,,1080528,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040511,127.55,2,2,1,有,有,7700000,60368,坡道平面,30.02,0,,RPXNMLNJPHOFFIF07CA
